ISBN;Title;Author;Year;Publisher
891415947;August 1944: The Campaign for France;Robert A. Miller;1996;Ballantine Books
804100039;If You Survive: From Normandy to the Battle of the Bulge to the End of World War II, One American Officer's Riveting True Story;George Wilson;1987;Ballantine Books
440236304;Currahee!:  A Screaming Eagle at Normandy;Donald R. Burgett;2000;Dell Publishing Company
60937114;First Mothers: The Women Who Shaped the Presidents;Bonnie Angelo;2001;Perennial
60183527;Our Kind of People: Inside America's Black Upper Class;Lawrence Otis Graham;1999;HarperCollins Publishers
081288518X;Queen of Ice, Queen of Shadows: The Unsuspected Life of Sonja Henie;Raymond Strait;1990;Scarborough House Publishers
038549565X;Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission;HAMPTON SIDES;2002;Anchor
743201981;Always Faithful : A Memoir of the Marine Dogs of WWII;William W. Putney;2001;Free Press
767908244;German Boy: A Child in War;WOLFGANG SAMUEL;2001;Broadway
743203399;The Wild Blue : The Men and Boys Who Flew the B-24s Over Germany 1944-45;Stephen E. Ambrose;2001;"Simon &amp; Schuster"
688158943;Waiting to Fly: My Escapades With the Penguins of Antarctica;Ron Naveen;1999;"William Morrow &amp; Company"
140018328;Kiss Kiss (French Language Edition);Roald Dahl;1978;"French &amp; European Pubns"
515100072;Crossed Swords;Sean Flannery;1989;Jove Books
553579606;Ashes to Ashes;TAMI HOAG;2000;Bantam
553282069;Forbidden Land : A Novel of the First Americans (First Americans Saga);WILLIAM SARABANDE;1989;Bantam
385177259;Foundation's Edge (Foundation Novels (Hardcover));Isaac Asimov;1982;Bantam Dell Pub Group
373201451;Daddy Again (By Request) (Harlequin by Request);Dorothy Glenn;1998;Harlequin
61013439;The Run;Stuart Woods;2001;HarperTorch
553080237;A Sorrow in Our Heart: The Life of Tecumseh;Allan W. Eckert;1992;Bantam Dell Pub Group
679459596;Billy Straight: A Novel;Jonathan Kellerman;1999;Random House Trade
393038173;How Late It Was, How Late;James Kelman;1994;"W W Norton &amp; Co Inc"
553578901;The Hostage Bride;Jane Feather;1998;Bantam Books
446605786;The Royals (not for sale in the UK);Kitty Kelley;1998;Warner Books
609609068;The Book of Eleanor;PAMELA KAUFMAN;2002;Crown
500011931;The case of Walter Pater;Michael Levey;1978;Thames and Hudson
531150259;Judith Gautier: A Biography;Joanna Richardson;1987;Franklin Watts
805205454;The Ladies of Seneca Falls: The Birth of the Woman's Rights Movement (Studies in the Life of Women);Miriam Gurko;1976;Pantheon Books
425193896;Cutwork;Monica Ferris;2004;Berkley Publishing Group
345382846;Here Be Dragons;Sharon Kay Penman;1993;Ballantine Books
312115067;Judith Sargent Murray: A Brief Biography With Documents (The Bedford Series in History and Culture);Sheila L. Skemp;1998;Bedford/St. Martin's
345413938;Hunger Pains: The Modern Woman's Tragic Quest for Thinness;Mary Pipher;1997;Ballantine Books
345283945;Distant Mirror;Barbara Wertheim Tuchman;0;Ballantine Books
60934239;Daughters of Britannia : The Lives and Times of Diplomatic Wives;Katie Hickman;2002;Perennial
006099486X;The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary;Simon Winchester;1999;Perennial
306809893;The Sisters of Henry VIII: The Tumultuous Lives of Margaret of Scotland and Mary of France;Maria Perry;2000;Da Capo Press
60185430;Ladies of the Grand Tour : British Women in Pursuit of Enlightenment and Adventure in Eighteenth-Century Europe;Brian Dolan;2001;HarperCollins
60987383;Royal Blood: Richard III and the Mystery of the Princes;Bertram Fields;2000;Regan Books
306811596;A Delusion of Satan: The Full Story of the Salem Witch Trials;Frances Hill;2002;DaCapo Press
789410842;Ultimate Christmas;Jane Newdick;1996;Dk Pub
068485080X;DIANA HER TRUE STORY COMMEMORATIVE EDITION;Andrew Morton;1997;"Simon &amp; Schuster"
684841347;ONE DAY MY SOUL JUST OPENED UP : 40 DAYS AND 40 NIGHTS TOWARD SPIRITUAL STRENGTH AND PERSONAL GROWTH;Iyanla Vanzant;1998;Fireside
1567310265;Boost Your Brain Power : A Total Program to Strengthen and Expand Your Most Important Resource;Ellen Michaud;1997;MJF Books
044652087X;My Sergei: A Love Story;Ekaterina Gordeeva;1996;Warner Books
878911774;"Algebra &amp; Trigonometry Super Review";"The Staff of Research &amp; Education Association";2000;"Research &amp; Education Association"
60176628;The Trouble With a Hot Summer: A Simona Griffo Mystery (Simona Griffo Mysteries (Hardcover));Camilla T. Crespi;1997;HarperCollins Publishers
670855030;Insomnia;Stephen King;1994;Viking Books
517064626;Mary Higgins Clark: Three Complete Novels : Weep No More, My Lady/Stillwatch/a Cry in the Night/3 Novels in 1 Volume;Mary Higgins Clark;1992;Wings
684810387;MOONLIGHT BECOMES YOU;Mary Higgins Clark;1996;"Simon &amp; Schuster"
931580439;How to Survive the Loss of a Love;Peter McWilliams;1993;Prelude Press
440183057;Stillwatch;MARY HIGGINS CLARK;1986;Dell
380709333;The Art of Living Single;Michael Broder;1990;Avon
671769200;If You Really Loved Me;Ann Rule;1992;Pocket
884042642;Self Analysis;L. Ron Hubbard;1987;Bridge Publications
671250671;ROAD LESS TRAVELED : A New Psychology of Love, Traditional Values, and Spritual Growth (Touchstone Books (Paperback));M. Scott Peck;1980;Touchstone
553067966;The Simple Living Guide: A Sourcebook for Less Stressful, More Joyful Living;Janet Luhrs;1997;Broadway Books
440507294;Real Moments;Barbara De Angelis;1995;Dell Publishing Company
553212141;"Heart of Darkness &amp; The Secret Sharer (Bantam Classics)";JOSEPH CONRAD;1982;Bantam
671602705;How To Run A Traditional Jewish Household;Blu Greenberg;1985;Fireside
843946385;Drawn to the Grave;Mary Ann Mitchell;1999;Leisure Books
439978238;Viaduct Child;Patrick Wood;2003;Scholastic Point
743200985;Tis: A Memoir;Frank McCourt;2000;"Simon &amp; Schuster"
425118703;Midnight;Dean R. Koontz;1995;Berkley Publishing Group
9510236756;Minun sukuni tarina;Jari Tervo;1999;W. SÃ¶derstrÃ¶m
349100136;"If this is a man ; and, The truce";Primo Levi;1987;Abacus
2070367622;Paroles;Jacques Prevert;1989;Distribooks
811802981;"The Golden Mean: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Concludes";Nick Bantock;1993;Chronicle Books
486415910;A Connecticut Yankee in King Arthur's Court (Dover Thrift Editions);Mark Twain;2001;Dover Publications
380792737;Island of the Sequined L;Christopher Moore;1998;William Morrow
1877856916;Exploring National Parks;Mary Maruca;1998;"Southwest Parks &amp; Monuments Association"
8807015188;La testa perduta di Damasceno Monteiro (I narratori/Feltrinelli);Antonio Tabucchi;1997;Feltrinelli
8804482001;Se Una Notte D'Inverno UN Viaggiatore;Italo Calvino;2002;Distribooks Inc
571200435;Buddha of Suburbia;Hanif Kureishi;2000;Faber Paperbacks
446604763;Mayday;Thomas Block;1998;Warner Books
60516283;Gallow's Thief;Bernard Cornwell;2003;HarperTorch
1590210301;Peacetalk 101;Suzette Haden Elgin;2003;Lethe Press
1573245216;The Giving Heart: Unlocking the Transformative Power of Generosity in Your Life;M. J. Ryan;2000;Conari Press
1567313671;Gratitude: Affirming the Good Things in Life;Melody Beattie;2000;MJF Books
1878424424;The Mastery of Love: A Practical Guide to the Art of Relationship: A Toltec Wisdom Book;Miguel Ruiz;1999;Amber-Allen Publishing
553109839;The Patient;Michael Palmer;2000;Bantam Books
316639842;Unnatural Exposure;Cornwell Patricia;0;Little Brown Company
140296409;Disgrace;J. M. Coetzee;2000;Penguin Books
3442442354;Der Strand;Alex Garland;2000;Wilhelm Goldmann Verlag, GmbH
451192613;Irresistible Impulse;Robert K. Tanenbaum;1998;Signet Book
451138481;Life Penalty;Joy Fielding;1994;Signet Book
670891576;In the Heart of the Sea: The Tragedy of the Whaleship Essex;Nathaniel Philbrick;2000;Penguin Putnam
395264758;Picture Palace: A Novel;Paul Theroux;1978;Houghton Mifflin Company
3442431875;Der PferdeflÃ?Â¼sterer.;Nicholas Evans;1997;Goldmann
140259112;"Bed &amp; Breakfast";Lois Battle;1997;Penguin Books
439339170;The Way of the Apprentice (Star Wars: Jedi Quest, Book 1);Jude Watson;2002;Scholastic
375401598;Pandora : New Tales of the Vampires;ANNE RICE;1998;Knopf
553106678;The Matarese Countdown;Robert Ludlum;1997;Bantam
684802988;FLOOD TIDE;Clive Cussler;1997;"Simon &amp; Schuster"
61000043;A Thief of Time (Joe Leaphorn/Jim Chee Novels);Tony Hillerman;1990;HarperTorch
312055145;Shakespeare on Love: Quotations from the Plays and Poems;William Shakespeare;1991;St. Martin's Press
60617225;The Way to Freedom: Core Teachings of Tibetan Buddhism;Bstan-Dzin-Rgya-Mtsho;1994;HarperSanFrancisco
1558214291;Dream Fish and Road Trips: Fly Fishing Tales from Alaska, Montana, and Beyond;E. Donnall Thomas Jr.;1996;The Lyons Press
349100373;Dreams of Dead Womens Handbags;Shena Mackay;0;Abacus
340542667;Canon bang bang;J. M O'Neill;1991;Sceptre
380699176;100 Great Fantasy Short, Short Stories;Isaac Asimov;1987;Harper Mass Market Paperbacks (Mm)
151006725;Slammerkin;Emma Donoghue;2001;Harcourt
525946241;Picture Maker;Penina Keen Spinka;2002;Dutton Books
394751043;The King Must Die;Mary Renault;1988;Vintage Books USA
2070388425;La Part manquante;Christian Bobin;1994;Gallimard
2070427110;La LumiÃ?Â¨re du monde;Christian Bobin;2003;Gallimard
2221081722;Le scaphandre et le papillon;Jean-Dominique Bauby;1997;R. Laffont
2070388905;Comme un roman;Daniel Pennac;1995;Gallimard
2070756319;Le Dictateur et le hamac;Daniel Pennac;2003;Gallimard
2253138916;Le Rocher de Tanios;Amin Maalouf;1996;LGF
553263579;The Autobiography of Miss Jane Pittman;ERNEST J. GAINES;1982;Bantam
441007015;The Seven Songs of Merlin (Lost Years of Merlin, Bk. 2);T. A. Barron;2000;Ace Books
553289411;The Plains of Passage (Earth's Children (Paperback));JEAN M. AUEL;1991;Bantam
553258559;Dragondrums (Harper Hall Trilogy);Anne McCaffrey;1996;Spectra Books
394717406;Out of Africa;Isak Dinesen;1972;Random House Inc
141300272;It Was a Dark and Stormy Night;Janet Ahlberg;1998;Penguin Uk
9500418606;Poderes extraordinarios;Joseph Finder;1998;Emece Editores
316588032;The Face;Dan McNeill;1998;"Little Brown &amp; Co"
671892479;Step-By-Step Tai Chi;Master Lam Kam-Chuen;1994;Fireside
60011912;Small Town;Lawrence Block;2003;HarperTorch
044661064X;The First Counsel;Brad Meltzer;2001;Warner Vision
553211803;Middlemarch (Wadsworth Series in Mass Communication);George Eliot;1996;Bantam Books
8439703651;En LA Boca Del Dragon;Ken Follett;2002;Mondadori (IT)
1551666839;Dead Run;Erica Spindler;2003;Mira
374526893;A Sense of Where You Are : Bill Bradley at Princeton;John McPhee;1999;Farrar, Straus and Giroux
1583940634;The Diary of a Teenage Girl: An Account in Words and Pictures;Phoebe Gloeckner;2002;Frog Ltd.
805060200;Boy in the Water;Stephen Dobyns;1999;"Henry Holt &amp; Company"
312872402;Kushiel's Avatar (Kushiel's Legacy);Jacqueline Carey;2003;Tor Books
312872399;Kushiel's Chosen (Kushiel's Legacy);Jacqueline Carey;2002;Tor Books
765342987;Kushiel's Dart;Jacqueline Carey;2002;Tor Books
451456726;Heir to the Shadows (The Black Jewels Trilogy, Book 2);Anne Bishop;1999;Roc
451456718;Daughter of the Blood (Black Jewels Trilogy);Anne Bishop;1998;Roc
451456734;Queen of the Darkness (Black Jewels Trilogy);Anne Bishop;2000;Roc
571154913;Remains of the Day;Kazuo Ishiguro;0;Faber Faber Inc
446530522;Cane River;Lalita Tademy;2001;Warner Books
330327917;The Ice House;Minette Walters;1995;Macmillan Pub Ltd
786004886;The Mentor;R. A. Forster;1998;Pinnacle Books
446674346;Cloud Mountain;Aimee Liu;1998;Warner Books
60092963;Adventures of a Scottish Heiress;Cathy Maxwell;2003;Avon
60517611;The Lady in Question;Victoria Alexander;2003;Avon
553802550;The Happiest Baby on the Block : The New Way to Calm Crying and Help Your Baby Sleep Longer;Harvey Karp;2002;Bantam
425192695;Girls of the Summer;Barbara Bretton;2003;Berkley Publishing Group
760704767;Historical Whodunits;Mike Ed Ashley;0;Barnes Noble
671468464;King Lear;William Shakespeare;1999;Pocket Books
440241286;Gun Monkeys;VICTOR GISCHLER;2003;Dell
002026478X;AGE OF INNOCENCE (MOVIE TIE-IN);Edith Wharton;1993;Scribner
743407148;Sherlock Holmes vs. Dracula;Loren Estleman;2000;I Books
345447840;The Surgeon;TESS GERRITSEN;2002;Ballantine Books
312977360;The Church of Dead Girls;Stephen Dobyns;2001;St. Martin's Paperbacks
312992203;Buck Fever (A Blanco County, Texas, Novel);Ben Rehder;2003;St. Martin's Minotaur
312089449;Muckraking:  Three Landmark Articles;Fitzpatrick;1994;Bedford/St. Martin's
096558383X;20 Years of Censored News;Carl Jensen;1997;Seven Stories Press
140094903;History of News: From the Drum to the Satellite;Mitchell Stephens;1989;Penguin USA
034541103X;A Reporter's Life;Walter Cronkite;1997;Ballantine Books
345425286;News Is a Verb: Journalism at the End of the Twentieth Century (Library of Contemporary Thought);Pete Hamill;1998;Ballantine Books
688179053;Deadlines and Datelines;Dan Rather;2000;Perennial
451201507;Drudge Manifesto;Matt Drudge;2000;New American Library
380760975;Tombley's Walk;Crosland Brown;1991;Harper Mass Market Paperbacks (Mm)
553569791;The Last Innocent Man;PHILLIP M. MARGOLIN;1995;Bantam
038000772X;I'm Ok-You're Ok;Thomas Harris;2004;Harpercollins
044661193X;Basket Case;Carl Hiaasen;2003;Warner Books
446401617;Where Echoes Live;Marcia Muller;1992;Warner Books
345428196;Outfoxed;Rita Mae Brown;2000;Ballantine Books
553208799;Chancellor Manuscript;Robert Ludlum;1981;Bantam Books
821767747;Too Good to Be True;Kasey Michaels;2001;Zebra Books
446512923;Lord of the Dance (The Passover Trilogy);Andrew M. Greeley;1984;Warner Books
60955406;The Peculiar Memories of Thomas Penman;Bruce Robinson;2000;Perennial
380793059;To Bury the Dead;Craig Spector;2000;HarperTorch
440419468;Holes;LOUIS SACHAR;2003;Yearling
446359866;Presumed Innocent;Scott Turow;1989;Warner Books
446602612;The Poet;Michael Connelly;1997;Warner Books
446612790;2nd Chance;James Patterson;2003;Warner Vision
671676253;The ABYSS;Orson Scott Card;1989;Pocket
446606383;The Midnight Club;James Patterson;1999;Warner Vision
553213148;Anne of Avonlea (Anne of Green Gables Novels (Paperback));L.M. MONTGOMERY;1984;Bantam Classics
380725584;The Indian in the Cupboard (rack) (Indian in the Cupboard);Lynne Reid Banks;1995;HarperTrophy
679401032;Uh-Oh: Some Observations from Both Sides of the Refrigerator Door;Robert Fulghum;1991;Random House Inc
394580567;It Was on Fire When I Lay Down on It;Robert Fulghum;1989;Random House Inc
394571029;All I Really Need to Know I Learned in Kindergarten: Uncommon Thoughts on Common Things;Robert Fulghum;1988;Villard Books
440128994;God Save the Child;Robert B. Parker;1994;Dell Publishing Company
590455761;One Hungry Monster;Susan H Okeefe;0;Scholastic Inc
446365505;Pleading Guilty;Scott Turow;1994;Warner Books
671531409;Midsummer Nights Dream;William Shakespeare;1984;Pocket Books
002542730X;Politically Correct Bedtime Stories: Modern Tales for Our Life and Times;James Finn Garner;1994;"John Wiley &amp; Sons Inc"
804111898;Uh-Oh: Some Observations from Both Sides of the Refrigerator Door;Robert Fulghum;1993;Ivy Books
802132154;The Complete Plays: The Ruffain on the Stair, Entertaining Mr. Sloan, the Good and Faithful Servant, Loot, the Erpingham Camp, Funeral Games, What the Butler Saw;Joe Orton;1990;Grove/Atlantic
25473905;Respect for Acting;Uta  Hagen;1973;"John Wiley &amp; Sons"
451203895;4 Blondes;Candace Bushnell;2002;Signet Book
345309014;Second Foundation (Foundation Novels (Paperback));Isaac Asimov;1983;Ballantine Books
345308999;Foundation (Foundation Novels (Paperback));Isaac Asimov;1983;Del Rey Books
345309006;Foundation and Empire (Foundation Novels (Paperback));Isaac Asimov;1983;Del Rey Books
553272535;Night;Elie Wiesel;1982;Bantam Books
445406488;The Curse of the Pharaohs;Elizabeth Peters;1988;Warner Books
451209710;The Dewey Decimal System of Love;Josephine Carr;2003;New American Library
312865031;Gravelight;Marion Zimmer Bradley;1997;St Martins Pr
089190672X;Circus;Allistair MacLean;1976;Amereon Ltd
449219631;Jaws;Peter Benchley;1991;Fawcett Books
425104052;The Hound of the Baskervilles;Sir Arthur Conan Doyle;1993;Berkley Publishing Group
425181464;Seduction in Death;J. D. Robb;2001;Berkley Publishing Group
515090298;Catcher in the Wry;Bob Uecker;1988;Jove Books
345438353;A Case of Conscience (Del Rey Impact);James Blish;2000;Del Rey Books
60298774;The Lives of Christopher Chant;Diana Wynne Jones;2001;Greenwillow
449212858;Rutland Place;Anne Perry;1997;Fawcett Books
812505018;The Secret Garden;Frances Hodgson Burnett;1989;Tor Books
671888021;Lame Deer, Seeker of Visions;Richard Erdoes;1994;Pocket
451458125;Fool Moon (The Dresden Files, Book 2);Jim Butcher;2001;New American Library
553213377;The Three Musketeers (Bantam Classics);ALEXANDRE DUMAS;1984;Bantam Classics
142002054;Diamonds Are Forever: A James Bond Novel;Ian Fleming;2002;Penguin Books
067150987X;Winter's Tale;Mark Helprin;1984;Pocket
345347951;Childhood's End;Arthur C. Clarke;1987;Del Rey Books
425037827;Stranger Strg Lnd;Robert A. Heinlein;1977;Berkley Publishing Group
553574353;Helter Skelter: The True Story of the Manson Murders;Vincent Bugliosi;1996;Bantam Books
553142046;Dragonsong;Anne Mccaffrey;0;Bantam Doubleday Dell
786889527;Night Gardening;E. L. Swann;2000;Hyperion
441006345;Fantastic Alice;Margaret Weis;1999;Ace Books
671721380;Wheels Of Fire (Serrated Edge 2);Mercedes Lackey;1992;Baen
446356018;Cradle;Gentry Lee;1989;Warner Books
067174139X;Masks (Star Trek The Next Generation, No 7);John Vornholt;1991;Star Trek
399136487;Damia (Rowan);Anne McCaffrey;1992;Putnam Pub Group
671720139;BLACK THRONE;Roger Zelazny;1990;Baen
039480001X;The Cat in the Hat;Dr. Seuss;1957;Random House Books for Young Readers
345273303;Another Roadside Attraction;Robbins;1977;Ballantine Books
446365661;Wall of Brass;Robert Daley;1995;Warner Books
749930888;Sisters in Arms;Catherine Jones;1999;Judy Piatkus Publishers Ltd
440201101;More Die of Heartbreak;Saul Bellow;1988;Dell Publishing Company
1857022424;Shipping News;E Annie Proulx;0;Fourth Estate
1561383619;The Quotable Traveler: Wise Words for Travelers, Explorers, and Wanderers/Miniature Book;Running Press;1994;Running Press Book Publishers
068484477X;STONES FROM THE RIVER;Ursula Hegi;1997;Touchstone
393317552;Guns, Germs, and Steel: The Fates of Human Societies;Jared Diamond;1999;"W. W. Norton &amp; Company"
684853515;Hearts In Atlantis : New Fiction;Stephen King;1999;Scribner
375504397;Black House;Stephen King;2001;Random House Trade
452283205;Falling Angels;Tracy Chevalier;2002;Plume Books
374524912;Coyote V. Acme;Ian Frazier;1997;Noonday Press
316779237;Holidays on Ice : Stories;David Sedaris;1998;Back Bay Books
875427324;Witta: An Irish Pagan Tradition (Llewellyn's World Magic);Edain McCoy;1993;Llewellyn Publications
385421982;The Pelican Brief;JOHN GRISHAM;1992;Doubleday
892962275;Black House;Patricia Highsmith;1988;Mysterious Press
393040135;Love Warps the Mind a Little;John Dufresne;1997;"W. W. Norton &amp; Company"
679402470;Millroy the Magician;Paul Theroux;1994;Random House Inc
055344171X;The Princess and the Pea (Loveswept, No 589);Fayrene Preston;1993;Loveswept
733801862;Book of D'ni (Myst);Rand Miller;0;Transworld Publishers (Division of Random House Australia)
875421180;Wicca: A Guide for the Solitary Practitioner;Scott Cunningham;1988;Llewellyn Publications
055308013X;Private Eyes;Jonathan Kellerman;1992;Bantam Dell Pub Group
8439709498;Vivir Para Contarla;Gabriel Garcia Marquez;2002;Astran Inc
460872125;Pride and Prejudice (Everyman Paperback Classics);Jane Austen;1993;"J.M. Dent &amp; Sons"
2020606291;Amours sorciÃ?Â¨res (export);Jelloun;2003;Seuil
345311965;Pebble in the Sky;Isaac Asimov;1983;Del Rey Books
451139739;Christine;Stephen King;1983;New Amer Library
553236202;Something Wicked This Way Comes;Ray Bradbury;1983;Bantam Doubleday Dell
8807810778;Il bar sotto il mare (Universale economica Feltrinelli);Stefano Benni;1989;Feltrinelli
038072975X;"Midnight Champagne : A Novel (Mysteries &amp; Horror)";A. Manette Ansay;2000;Perennial
1885167172;Who's Running Your Career?: Creating Stable Work in Unstable Times;Caela Farren;1997;Bard Press (TX)
452261589;The Art and Craft of Feature Writing;William E. Blundell;1988;Plume Books
374230072;Required Reading: Why Our American Classics Matter Now;Andrew Delbanco;1997;"Farrar Straus &amp; Giroux"
014006690X;The Women of Brewster Place (Penguin Contemporary American Fiction Series);Gloria Naylor;1983;Penguin Books
60975210;The Lover;Marguerite Duras;1992;Harpercollins
374521352;The Dwarf;Par Lagerkvist;1958;Hill and Wang
226424197;French Lessons: A Memoir;Alice Kaplan;1994;University of Chicago Press
316085251;The Boys of My Youth;Jo Ann Beard;1999;Back Bay Books
874771641;Becoming a Writer;Dorothea Brande;1981;Jeremy P. Tarcher
451185560;Fear of Flying;Erica Jong;1996;Signet Book
1853260401;Three Musketeers (Wordsworth Classics);Alexandre Dumas;1997;NTC/Contemporary Publishing Company
773760555;A Circle of Silver (Circle of Silver Chronicles);Maxine Trottier;2000;"Fitzhenry &amp; Whiteside Limited"
553250531;The Valley of Horses;JEAN M. AUEL;1984;Bantam
553148001;The Clan of the Cave Bear : a novel;Jean M. Auel;1981;Bantam Books
1579542085;Pets' Letters to God;Mark Bricklin;1999;Rodale Press
671720414;Generation Warriors;Anne McCaffrey;1991;Baen
345275675;The White Dragon (Dragonriders of Pern, V. 3);Anne McCaffrey;1981;Ultramarine Pub Co
024189865X;The bear's whelp: The autobiography of Robert Dudley, Duke of Northumberland, Earl of Warwick and Earl of Leicester in the Holy Roman Empire;Derek A Wilson;1978;H. Hamilton
773671358;Our Cops - Their Stories;Iris Gadd;1987;Stoddart
553284460;OKLAHOMA PRIDE (Holts : An American Dynasty, Vol 2);DANA FULLER ROSS;1990;Domain
440213525;The Client;John Grisham;1994;Dell Publishing Company
451188462;Desperation;Stephen King;1997;Signet Book
034525855X;A spell for Chameleon (Magic of Xanth);Piers Anthony;1977;Ballantine Books
441135560;Damia (Ace Science Fiction);Anne McCaffrey;1993;ACE Charter
3789131202;Der Prinz und der Bottelknabe. Oder ErzÃ?Â¤hl mir vom Dow Jones. ( Ab 12 J.).;Kirsten Boie;1997;Oetinger Verlag
195103793;Managing Your Mind: The Mental Fitness Guide;Gillian Butler;1995;American Philological Association
816303630;"It Must Have Been an Angel (Redwood Paperback; 119)";Marjorie L. Lloyd;1980;Shelter Publications
811807282;The Secret Language of Dreams: A Visual Key to Dreams and Their Meanings;David Fontana;1994;Chronicle Books
671019449;FLOWERS IN THE ATTIC (Dollanger Saga (Paperback));V.C. Andrews;1997;Pocket
152105328;The Borrowers Avenged;Mary Norton;1990;Odyssey Classics
8472236552;UN Viejo Que Leia Novelas De Amor/the Old Men Who Read Love Stories (ColecciÃ³n Andanzas);Luis Sepulveda;1993;Tusquets Editores
60283122;The Bad Beginning (A Series of Unfortunate Events, Book 1);Lemony Snicket;1999;HarperCollins
439136350;Harry Potter and the Prisoner of Azkaban (Book 3);J. K. Rowling;1999;Scholastic
671028367;Deadly Decisions;Kathy Reichs;2001;Pocket Books
28642333;The Complete Idiot's Guide(R) to Understanding Islam;Yahiya Emerick;2001;Penguin Putnam
440235642;Black May : The Epic Story of the Allies' Defeat of the German U-Boats in May 1943;MICHAEL GANNON;1999;Dell
330486705;Louise Brindley Omnibus (Pb);Brindley Louise;2000;Pan Macmillan
670881872;An incidental memoir;Robin Dalton;1998;Penguin Putnam
848856497X;"El buscador de sueÃ±os (Narrativa / Huerga &amp; Fierro Editores)";RaÃºl Torres;1996;"Huerga &amp; Fierro"
440111811;Changes;Danielle Steel;1984;Dell
64400557;Charlotte's Web (Trophy Newbery);E. B. White;1974;HarperTrophy
067166607X;Bambi (Bambi);Felix Salten;1988;Aladdin
312870582;01-01-00: A Novel of the Millennium;R. J. Pineiro;1999;Forge
3423123222;Verlorene WÃ?Â¼nsche.;Anita Brookner;1997;Dtv
3453064038;Incubus. Roman.;Colin Forbes;1993;Heyne
3404122631;Sonnenfeuer. Der grosse Australienroman.;Patricia Shaw;1995;LÃ?Â¼bbe
3596134153;Die Klage des Distelfinken.;Anna Maria Ortese;1997;Fischer (Tb.), Frankfurt
3453061187;Die Jury. Roman.;John Grisham;1992;Heyne
3423107421;Der Ritter, den es nicht gab. Roman.;Italo Calvino;1987;Dtv
3453161394;Der gefallene Engel.;Paul Doherty;2000;Heyne
3579007335;Muslimische Frauen in Deutschland erzÃ?Â¤hlen Ã?Â¼ber ihren Glauben.;Frauke Biehl;1999;GÃ?Â¼tersloher Verlagshaus
3257229372;Liebessabotage.;Amelie Nothomb;2001;Diogenes Verlag
3453088530;Alistair MacLean's Zeit der AttentÃ?Â¤ter.;Alistair MacLean;1995;Heyne
345305136X;Das Schweigen der LÃ?Â¤mmer.;Thomas Harris;1991;Heyne
3257224974;Die Wahrheit Ã?Â¼ber Lorin Jones. Roman.;Alison Lurie;1992;Diogenes Verlag
3404139674;Operation Schneewolf.;Glenn Meade;1998;LÃ?Â¼bbe
3442353793;Des Teufels Kardinal.;Allan Folsom;2000;Goldmann
3596129397;Mit fÃ¼nfzig kÃ¼ssen MÃ¤nner anders: Roman (Die Frau in der Gesellschaft);Dorit Zinn;1995;Fischer Taschenbuch Verlag
3548257623;Die ZuckerbÃ?Â¤ckerin.;Petra Durst-Benning;2002;Ullstein Tb
3746613531;Kleine SchwÃ?Â¤ne.;Eva Maaser;2002;Aufbau Tb
3746618169;Tango Finale.;Eva Maaser;2002;Aufbau Tb
9972847012;Los amigos que perdÃ­;Jaime Bayly;2000;Santillana USA Publishing Company
9582700319;Manuela (Narrativa colombiana);Lindy Arriaga DÃ­az;1999;Arango Editores
3257228031;Flamingofeder.;Laurens van der Post;1995;Diogenes Verlag
3548248845;Der Fluch des Falken.;Elizabeth Peters;2000;Ullstein Tb
3446178694;Der Virtuose.;Margriet de Moor;1994;Carl Hanser
3453198840;Der Gesang des Troubadours.;Clara Pierre;2002;Heyne
3404147294;Der Sohn des Kreuzfahrers.;Stephen Lawhead;2002;LÃ?Â¼bbe
3746619394;Die Provencalin. Sonderausgabe.;Frederik Berger;2003;Aufbau Tb
3426619857;Verso Casa. Heimwege.;Susanna Tamaro;2002;Droemer Knaur
3499233045;Die Reise nach Karlsbad.;Ruth Berger;2003;Rowohlt Tb.
3404142624;Der schwarze Kelch.;Peter Berling;1999;LÃ?Â¼bbe
051604642X;The story of the U.S.S. Arizona (Cornerstones of freedom);R. Conrad Stein;1977;Childrens Press
380803151;Avalanche Soldier;Susan R. Matthews;1999;Eos (HarperCollins)
553568728;Star Wars: The Truce at Bakura (Star Wars (Random House Paperback));Kathy Tyers;1994;Bantam
553297988;Jedi Search (Star Wars: The Jedi Academy Trilogy, Vol. 1);Kevin J. Anderson;1994;Bantam
671654209;The Burning Eye (Warworld, Book 1);Jerry Pournelle;1988;Baen
884046818;Battlefield Earth: A Saga of the Year 3000;L. Ron Hubbard;1991;Bridge Publications
345289072;Inherit the Stars;Hogan P.;1979;Del Rey Books
671720406;ROIL OF STARS;Don Wismer;1991;Baen
345379802;Star Wars: The Han Solo Adventures/3 Books in One;Brian Daley;1993;Del Rey Books
886778697;The Faded Sun Trilogy;C. J. Cherryh;2000;Daw Books
743435346;The Warmasters;David Weber;2002;Baen
679448594;Primary Colors: A Novel of Politics;Anonymous;1996;Random House Inc
345313577;Job, a comedy of justice;Arthur C. Clarke;1984;Ballantine Books
671867172;The Lottery Winner : Alvirah And Willy Stories;Mary Higgins Clark;1995;Pocket
425189104;Murder on Mulberry Bend (Gaslight Mystery);Victoria Thompson;2003;Berkley Publishing Group
